number	type	latency	urevent
1.000000	1	2320.000000	1.000000
2.000000	2	4123.000000	2.000000
3.000000	3	5936.000000	3.000000
4.000000	boundary	7321.000000	4.000000
5.000000	4	8083.000000	5.000000
6.000000	5	9966.000000	6.000000
7.000000	6	11884.000000	7.000000
8.000000	7	13959.000000	8.000000
9.000000	boundary	15201.000000	9.000000
10.000000	8	15894.000000	10.000000
11.000000	9	17766.000000	11.000000
12.000000	10	19721.000000	12.000000
13.000000	boundary	20921.000000	13.000000
14.000000	11	21699.000000	14.000000
15.000000	12	23538.000000	15.000000
16.000000	13	25534.000000	16.000000
17.000000	14	27373.000000	17.000000
18.000000	15	29516.000000	18.000000
19.000000	16	31346.000000	19.000000
20.000000	17	33270.000000	20.000000
21.000000	18	35443.000000	21.000000
22.000000	19	37397.000000	22.000000
23.000000	20	39512.000000	23.000000
24.000000	21	41450.000000	24.000000
25.000000	22	43535.000000	25.000000
26.000000	23	45679.000000	26.000000
27.000000	24	47773.000000	27.000000
28.000000	25	49701.000000	28.000000
29.000000	26	51573.000000	29.000000
30.000000	27	53510.000000	30.000000
31.000000	28	55503.000000	31.000000
32.000000	29	57408.000000	32.000000
33.000000	30	59545.000000	33.000000
34.000000	31	61462.000000	34.000000
35.000000	32	63461.000000	35.000000
36.000000	33	65326.000000	36.000000
37.000000	34	67482.000000	37.000000
38.000000	35	69402.000000	38.000000
39.000000	36	71518.000000	39.000000
40.000000	37	73714.000000	40.000000
41.000000	38	75718.000000	41.000000
42.000000	39	77879.000000	42.000000
43.000000	40	80016.000000	43.000000
44.000000	41	81831.000000	44.000000
45.000000	42	83694.000000	45.000000
46.000000	43	85558.000000	46.000000
47.000000	44	87568.000000	47.000000
48.000000	45	89383.000000	48.000000
49.000000	46	91426.000000	49.000000
50.000000	47	93236.000000	50.000000
51.000000	48	95351.000000	51.000000
52.000000	49	97417.000000	52.000000
53.000000	50	99532.000000	53.000000
54.000000	51	101622.000000	54.000000
55.000000	52	103650.000000	55.000000
56.000000	53	105538.000000	56.000000
57.000000	54	107617.000000	57.000000
58.000000	55	109660.000000	58.000000
59.000000	56	111848.000000	59.000000
60.000000	57	113912.000000	60.000000
61.000000	58	116117.000000	61.000000
62.000000	59	118021.000000	62.000000
63.000000	60	120097.000000	63.000000
64.000000	61	122022.000000	64.000000
65.000000	62	123862.000000	65.000000
66.000000	63	125977.000000	66.000000
67.000000	64	127982.000000	67.000000
68.000000	65	130141.000000	68.000000
69.000000	66	132150.000000	69.000000
70.000000	67	134185.000000	70.000000
71.000000	68	136372.000000	71.000000
72.000000	69	138451.000000	72.000000
73.000000	70	140393.000000	73.000000
74.000000	71	142203.000000	74.000000
75.000000	72	144292.000000	75.000000
76.000000	73	146497.000000	76.000000
77.000000	74	148613.000000	77.000000
78.000000	75	150719.000000	78.000000
79.000000	76	152604.000000	79.000000
80.000000	77	154469.000000	80.000000
81.000000	78	156640.000000	81.000000
82.000000	79	158760.000000	82.000000
83.000000	80	160802.000000	83.000000
84.000000	81	162954.000000	84.000000
85.000000	82	165035.000000	85.000000
86.000000	83	166957.000000	86.000000
87.000000	84	168801.000000	87.000000
88.000000	85	170859.000000	88.000000
89.000000	86	172777.000000	89.000000
90.000000	87	174934.000000	90.000000
91.000000	88	176804.000000	91.000000
92.000000	89	178720.000000	92.000000
93.000000	90	180743.000000	93.000000
94.000000	91	182934.000000	94.000000
95.000000	92	184811.000000	95.000000
96.000000	93	186679.000000	96.000000
97.000000	94	188593.000000	97.000000
98.000000	95	190469.000000	98.000000
99.000000	96	192506.000000	99.000000
100.000000	97	194512.000000	100.000000
101.000000	98	196434.000000	101.000000
102.000000	99	198302.000000	102.000000
103.000000	100	200352.000000	103.000000
