number	type	latency	urevent
1.000000	1	2359.000000	1.000000
2.000000	2	4351.000000	2.000000
3.000000	3	6251.000000	3.000000
4.000000	4	8086.000000	4.000000
5.000000	5	10138.000000	5.000000
6.000000	6	12255.000000	6.000000
7.000000	7	14076.000000	7.000000
8.000000	8	15898.000000	8.000000
9.000000	9	17815.000000	9.000000
10.000000	10	19862.000000	10.000000
11.000000	11	21905.000000	11.000000
12.000000	12	23996.000000	12.000000
13.000000	13	25949.000000	13.000000
14.000000	14	28064.000000	14.000000
15.000000	15	30091.000000	15.000000
16.000000	16	31978.000000	16.000000
17.000000	17	33950.000000	17.000000
18.000000	18	35981.000000	18.000000
19.000000	19	38166.000000	19.000000
20.000000	20	40294.000000	20.000000
21.000000	21	42350.000000	21.000000
22.000000	22	44253.000000	22.000000
23.000000	23	46148.000000	23.000000
24.000000	24	48112.000000	24.000000
25.000000	25	50096.000000	25.000000
26.000000	26	52095.000000	26.000000
27.000000	27	54141.000000	27.000000
28.000000	28	56188.000000	28.000000
29.000000	29	58120.000000	29.000000
30.000000	30	60094.000000	30.000000
31.000000	31	62049.000000	31.000000
32.000000	32	64170.000000	32.000000
33.000000	33	66012.000000	33.000000
34.000000	34	67969.000000	34.000000
35.000000	35	70070.000000	35.000000
36.000000	36	72243.000000	36.000000
37.000000	37	74103.000000	37.000000
38.000000	38	76120.000000	38.000000
39.000000	39	78106.000000	39.000000
40.000000	40	80222.000000	40.000000
41.000000	41	82042.000000	41.000000
42.000000	42	83904.000000	42.000000
43.000000	43	85744.000000	43.000000
44.000000	44	87620.000000	44.000000
45.000000	45	89604.000000	45.000000
46.000000	46	91444.000000	46.000000
47.000000	47	93599.000000	47.000000
48.000000	48	95453.000000	48.000000
49.000000	49	97487.000000	49.000000
50.000000	50	99601.000000	50.000000
51.000000	51	101554.000000	51.000000
52.000000	52	103403.000000	52.000000
53.000000	53	105286.000000	53.000000
54.000000	54	107349.000000	54.000000
55.000000	55	109312.000000	55.000000
56.000000	56	111471.000000	56.000000
57.000000	57	113410.000000	57.000000
58.000000	58	115616.000000	58.000000
59.000000	59	117473.000000	59.000000
60.000000	60	119458.000000	60.000000
61.000000	61	121628.000000	61.000000
62.000000	62	123727.000000	62.000000
63.000000	63	125561.000000	63.000000
64.000000	64	127441.000000	64.000000
65.000000	65	129266.000000	65.000000
66.000000	66	131136.000000	66.000000
67.000000	67	133082.000000	67.000000
68.000000	68	134994.000000	68.000000
69.000000	69	137112.000000	69.000000
70.000000	70	138996.000000	70.000000
71.000000	71	141114.000000	71.000000
72.000000	72	143229.000000	72.000000
73.000000	73	145200.000000	73.000000
74.000000	74	147168.000000	74.000000
75.000000	75	149122.000000	75.000000
76.000000	76	151019.000000	76.000000
77.000000	77	153127.000000	77.000000
78.000000	78	155248.000000	78.000000
79.000000	79	157167.000000	79.000000
80.000000	80	159139.000000	80.000000
81.000000	81	161329.000000	81.000000
82.000000	82	163228.000000	82.000000
83.000000	83	165253.000000	83.000000
84.000000	84	167313.000000	84.000000
85.000000	85	169413.000000	85.000000
86.000000	86	171259.000000	86.000000
87.000000	87	173414.000000	87.000000
88.000000	88	175236.000000	88.000000
89.000000	89	177066.000000	89.000000
90.000000	90	178995.000000	90.000000
91.000000	91	180975.000000	91.000000
92.000000	92	182891.000000	92.000000
93.000000	93	185030.000000	93.000000
94.000000	94	187165.000000	94.000000
95.000000	95	189193.000000	95.000000
96.000000	96	191337.000000	96.000000
97.000000	97	193517.000000	97.000000
98.000000	98	195569.000000	98.000000
99.000000	99	197571.000000	99.000000
100.000000	100	199398.000000	100.000000
