number	type	latency	urevent
1.000000	1	5063.000000	1.000000
2.000000	2	6866.000000	2.000000
3.000000	3	8680.000000	3.000000
4.000000	4	10826.000000	4.000000
5.000000	5	12709.000000	5.000000
6.000000	6	14620.000000	6.000000
7.000000	7	16691.000000	7.000000
8.000000	8	18620.000000	8.000000
9.000000	9	20486.000000	9.000000
10.000000	10	22436.000000	10.000000
11.000000	11	24408.000000	11.000000
12.000000	12	26243.000000	12.000000
13.000000	13	28243.000000	13.000000
14.000000	14	30081.000000	14.000000
15.000000	15	32227.000000	15.000000
16.000000	16	34060.000000	16.000000
17.000000	17	35986.000000	17.000000
18.000000	18	38161.000000	18.000000
19.000000	19	40118.000000	19.000000
20.000000	20	42237.000000	20.000000
21.000000	21	44177.000000	21.000000
22.000000	22	46266.000000	22.000000
23.000000	23	48413.000000	23.000000
24.000000	24	50510.000000	24.000000
25.000000	25	52442.000000	25.000000
26.000000	26	54322.000000	26.000000
27.000000	27	56262.000000	27.000000
28.000000	28	58258.000000	28.000000
29.000000	29	60165.000000	29.000000
30.000000	30	62305.000000	30.000000
31.000000	31	64227.000000	31.000000
32.000000	32	66228.000000	32.000000
33.000000	33	68097.000000	33.000000
34.000000	34	70256.000000	34.000000
35.000000	35	72180.000000	35.000000
36.000000	36	74299.000000	36.000000
37.000000	37	76500.000000	37.000000
38.000000	38	78506.000000	38.000000
39.000000	39	80672.000000	39.000000
40.000000	40	82812.000000	40.000000
41.000000	41	84630.000000	41.000000
42.000000	42	86496.000000	42.000000
43.000000	43	88363.000000	43.000000
44.000000	44	90373.000000	44.000000
45.000000	45	92192.000000	45.000000
46.000000	46	94239.000000	46.000000
47.000000	47	96052.000000	47.000000
48.000000	48	98171.000000	48.000000
49.000000	49	100241.000000	49.000000
50.000000	50	102359.000000	50.000000
51.000000	51	104451.000000	51.000000
52.000000	52	106483.000000	52.000000
53.000000	53	108375.000000	53.000000
54.000000	54	110456.000000	54.000000
55.000000	55	112503.000000	55.000000
56.000000	56	114696.000000	56.000000
57.000000	57	116767.000000	57.000000
58.000000	58	118976.000000	58.000000
59.000000	59	120883.000000	59.000000
60.000000	60	122963.000000	60.000000
61.000000	61	124891.000000	61.000000
62.000000	62	126735.000000	62.000000
63.000000	63	128853.000000	63.000000
64.000000	64	130861.000000	64.000000
65.000000	65	133023.000000	65.000000
66.000000	66	135035.000000	66.000000
67.000000	67	137073.000000	67.000000
68.000000	68	139264.000000	68.000000
69.000000	69	141348.000000	69.000000
70.000000	70	143293.000000	70.000000
71.000000	71	145107.000000	71.000000
72.000000	72	147198.000000	72.000000
73.000000	73	149404.000000	73.000000
74.000000	74	151522.000000	74.000000
75.000000	75	153630.000000	75.000000
76.000000	76	155519.000000	76.000000
77.000000	77	157386.000000	77.000000
78.000000	78	159561.000000	78.000000
79.000000	79	161684.000000	79.000000
80.000000	80	163728.000000	80.000000
81.000000	81	165883.000000	81.000000
82.000000	82	167968.000000	82.000000
83.000000	83	169894.000000	83.000000
84.000000	84	171741.000000	84.000000
85.000000	85	173806.000000	85.000000
86.000000	86	175729.000000	86.000000
87.000000	87	177888.000000	87.000000
88.000000	88	179763.000000	88.000000
89.000000	89	181682.000000	89.000000
90.000000	90	183709.000000	90.000000
91.000000	91	185902.000000	91.000000
92.000000	92	187782.000000	92.000000
93.000000	93	189653.000000	93.000000
94.000000	94	191569.000000	94.000000
95.000000	95	193450.000000	95.000000
96.000000	96	195490.000000	96.000000
97.000000	97	197499.000000	97.000000
98.000000	98	199424.000000	98.000000
99.000000	99	201295.000000	99.000000
100.000000	100	203348.000000	100.000000
