number	type	latency	urevent
1.000000	1	2355.000000	1.000000
2.000000	2	4231.000000	2.000000
3.000000	3	6242.000000	3.000000
4.000000	4	8409.000000	4.000000
5.000000	5	10522.000000	5.000000
6.000000	6	12586.000000	6.000000
7.000000	7	14409.000000	7.000000
8.000000	8	16450.000000	8.000000
9.000000	9	18654.000000	9.000000
10.000000	10	20468.000000	10.000000
11.000000	11	22328.000000	11.000000
12.000000	12	24142.000000	12.000000
13.000000	13	26304.000000	13.000000
14.000000	14	28484.000000	14.000000
15.000000	15	30469.000000	15.000000
16.000000	16	32575.000000	16.000000
17.000000	17	34406.000000	17.000000
18.000000	18	36532.000000	18.000000
19.000000	19	38544.000000	19.000000
20.000000	20	40674.000000	20.000000
21.000000	21	42509.000000	21.000000
22.000000	22	44392.000000	22.000000
23.000000	23	46205.000000	23.000000
24.000000	24	48360.000000	24.000000
25.000000	25	50177.000000	25.000000
26.000000	26	52114.000000	26.000000
27.000000	27	53957.000000	27.000000
28.000000	28	55783.000000	28.000000
29.000000	29	57885.000000	29.000000
30.000000	30	59800.000000	30.000000
31.000000	31	61929.000000	31.000000
32.000000	32	64094.000000	32.000000
33.000000	33	65929.000000	33.000000
34.000000	34	67769.000000	34.000000
35.000000	35	69937.000000	35.000000
36.000000	36	71834.000000	36.000000
37.000000	37	73762.000000	37.000000
38.000000	38	75598.000000	38.000000
39.000000	39	77552.000000	39.000000
40.000000	40	79694.000000	40.000000
41.000000	41	81752.000000	41.000000
42.000000	42	83877.000000	42.000000
43.000000	43	85896.000000	43.000000
44.000000	44	87709.000000	44.000000
45.000000	45	89589.000000	45.000000
46.000000	46	91607.000000	46.000000
47.000000	47	93696.000000	47.000000
48.000000	48	95728.000000	48.000000
49.000000	49	97596.000000	49.000000
50.000000	50	99535.000000	50.000000
51.000000	51	101568.000000	51.000000
52.000000	52	103674.000000	52.000000
53.000000	53	105815.000000	53.000000
54.000000	54	107981.000000	54.000000
55.000000	55	110104.000000	55.000000
56.000000	56	112047.000000	56.000000
57.000000	57	114216.000000	57.000000
58.000000	58	116380.000000	58.000000
59.000000	59	118455.000000	59.000000
60.000000	60	120516.000000	60.000000
61.000000	61	122687.000000	61.000000
62.000000	62	124647.000000	62.000000
63.000000	63	126718.000000	63.000000
64.000000	64	128617.000000	64.000000
65.000000	65	130818.000000	65.000000
66.000000	66	132854.000000	66.000000
67.000000	67	134730.000000	67.000000
68.000000	68	136856.000000	68.000000
69.000000	69	138827.000000	69.000000
70.000000	70	140661.000000	70.000000
71.000000	71	142471.000000	71.000000
72.000000	72	144388.000000	72.000000
73.000000	73	146264.000000	73.000000
74.000000	74	148140.000000	74.000000
75.000000	75	150039.000000	75.000000
76.000000	76	151891.000000	76.000000
77.000000	77	154075.000000	77.000000
78.000000	78	155940.000000	78.000000
79.000000	79	157918.000000	79.000000
80.000000	80	159936.000000	80.000000
81.000000	81	161746.000000	81.000000
82.000000	82	163680.000000	82.000000
83.000000	83	165724.000000	83.000000
84.000000	84	167882.000000	84.000000
85.000000	85	169709.000000	85.000000
86.000000	86	171707.000000	86.000000
87.000000	87	173578.000000	87.000000
88.000000	88	175699.000000	88.000000
89.000000	89	177864.000000	89.000000
90.000000	90	180062.000000	90.000000
91.000000	91	182213.000000	91.000000
92.000000	92	184136.000000	92.000000
93.000000	93	186166.000000	93.000000
94.000000	94	188158.000000	94.000000
95.000000	95	190135.000000	95.000000
96.000000	96	192089.000000	96.000000
97.000000	97	193988.000000	97.000000
98.000000	98	195868.000000	98.000000
99.000000	99	197820.000000	99.000000
100.000000	100	199919.000000	100.000000
