number	type	latency	urevent
1.000000	1	2594.000000	1.000000
2.000000	2	4397.000000	2.000000
3.000000	3	6211.000000	3.000000
4.000000	4	8357.000000	4.000000
5.000000	5	10240.000000	5.000000
6.000000	6	12151.000000	6.000000
7.000000	7	14222.000000	7.000000
8.000000	8	16151.000000	8.000000
9.000000	9	18017.000000	9.000000
10.000000	10	19967.000000	10.000000
11.000000	11	21940.000000	11.000000
12.000000	12	23773.000000	12.000000
13.000000	13	25772.000000	13.000000
14.000000	14	27610.000000	14.000000
15.000000	15	29756.000000	15.000000
16.000000	16	31589.000000	16.000000
17.000000	17	33517.000000	17.000000
18.000000	18	35693.000000	18.000000
19.000000	19	37650.000000	19.000000
20.000000	20	39769.000000	20.000000
21.000000	21	41710.000000	21.000000
22.000000	22	43803.000000	22.000000
23.000000	23	45950.000000	23.000000
24.000000	24	48047.000000	24.000000
25.000000	25	49978.000000	25.000000
26.000000	26	51854.000000	26.000000
27.000000	27	53795.000000	27.000000
28.000000	28	55791.000000	28.000000
29.000000	29	57700.000000	29.000000
30.000000	30	59840.000000	30.000000
31.000000	31	61760.000000	31.000000
32.000000	32	63761.000000	32.000000
33.000000	33	65631.000000	33.000000
34.000000	34	67790.000000	34.000000
35.000000	35	69713.000000	35.000000
36.000000	36	71832.000000	36.000000
37.000000	37	74031.000000	37.000000
38.000000	38	76038.000000	38.000000
39.000000	39	78202.000000	39.000000
40.000000	40	80342.000000	40.000000
41.000000	41	82160.000000	41.000000
42.000000	42	84026.000000	42.000000
43.000000	43	85892.000000	43.000000
44.000000	44	87902.000000	44.000000
45.000000	45	89720.000000	45.000000
46.000000	46	91767.000000	46.000000
47.000000	47	93580.000000	47.000000
48.000000	48	95698.000000	48.000000
49.000000	49	97768.000000	49.000000
50.000000	50	99887.000000	50.000000
51.000000	51	101979.000000	51.000000
52.000000	52	104016.000000	52.000000
53.000000	53	105908.000000	53.000000
54.000000	54	107990.000000	54.000000
55.000000	55	110037.000000	55.000000
56.000000	56	112229.000000	56.000000
57.000000	57	114297.000000	57.000000
58.000000	58	116505.000000	58.000000
59.000000	59	118413.000000	59.000000
60.000000	60	120493.000000	60.000000
61.000000	61	122421.000000	61.000000
62.000000	62	124265.000000	62.000000
63.000000	63	126383.000000	63.000000
64.000000	64	128391.000000	64.000000
65.000000	65	130553.000000	65.000000
66.000000	66	132565.000000	66.000000
67.000000	67	134605.000000	67.000000
68.000000	68	136796.000000	68.000000
69.000000	69	138879.000000	69.000000
70.000000	70	140824.000000	70.000000
71.000000	71	142637.000000	71.000000
72.000000	72	144729.000000	72.000000
73.000000	73	146933.000000	73.000000
74.000000	74	149052.000000	74.000000
75.000000	75	151162.000000	75.000000
76.000000	76	153050.000000	76.000000
77.000000	77	154917.000000	77.000000
78.000000	78	157093.000000	78.000000
79.000000	79	159215.000000	79.000000
80.000000	80	161261.000000	80.000000
81.000000	81	163421.000000	81.000000
82.000000	82	165506.000000	82.000000
83.000000	83	167430.000000	83.000000
84.000000	84	169277.000000	84.000000
85.000000	85	171338.000000	85.000000
86.000000	86	173260.000000	86.000000
87.000000	87	175419.000000	87.000000
88.000000	88	177293.000000	88.000000
89.000000	89	179212.000000	89.000000
90.000000	90	181239.000000	90.000000
91.000000	91	183433.000000	91.000000
92.000000	92	185312.000000	92.000000
93.000000	93	187184.000000	93.000000
94.000000	94	189101.000000	94.000000
95.000000	95	190981.000000	95.000000
96.000000	96	193020.000000	96.000000
97.000000	97	195029.000000	97.000000
98.000000	98	196954.000000	98.000000
99.000000	99	198825.000000	99.000000
100.000000	100	200878.000000	100.000000
