number	type	latency	urevent
1.000000	1	2806.000000	1.000000
2.000000	2	4609.000000	2.000000
3.000000	3	6422.000000	3.000000
4.000000	4	8568.000000	4.000000
5.000000	5	10451.000000	5.000000
6.000000	6	12363.000000	6.000000
7.000000	7	14433.000000	7.000000
8.000000	8	16362.000000	8.000000
9.000000	9	18228.000000	9.000000
10.000000	10	20178.000000	10.000000
11.000000	11	22150.000000	11.000000
12.000000	12	23985.000000	12.000000
13.000000	13	25984.000000	13.000000
14.000000	14	27822.000000	14.000000
15.000000	15	29969.000000	15.000000
16.000000	16	31801.000000	16.000000
17.000000	17	33729.000000	17.000000
18.000000	18	35905.000000	18.000000
19.000000	19	37862.000000	19.000000
20.000000	20	39981.000000	20.000000
21.000000	21	41927.000000	21.000000
22.000000	22	44017.000000	22.000000
23.000000	23	46165.000000	23.000000
24.000000	24	48261.000000	24.000000
25.000000	25	50194.000000	25.000000
26.000000	26	52069.000000	26.000000
27.000000	27	54010.000000	27.000000
28.000000	28	56007.000000	28.000000
29.000000	29	57916.000000	29.000000
30.000000	30	60055.000000	30.000000
31.000000	31	61977.000000	31.000000
32.000000	32	63979.000000	32.000000
33.000000	33	65848.000000	33.000000
34.000000	34	68007.000000	34.000000
35.000000	35	69931.000000	35.000000
36.000000	36	72051.000000	36.000000
37.000000	37	74251.000000	37.000000
38.000000	38	76259.000000	38.000000
39.000000	39	78424.000000	39.000000
40.000000	40	80564.000000	40.000000
41.000000	41	82382.000000	41.000000
42.000000	42	84248.000000	42.000000
43.000000	43	86116.000000	43.000000
44.000000	44	88126.000000	44.000000
45.000000	45	89944.000000	45.000000
46.000000	46	91991.000000	46.000000
47.000000	47	93805.000000	47.000000
48.000000	48	95924.000000	48.000000
49.000000	49	97994.000000	49.000000
50.000000	50	100112.000000	50.000000
51.000000	51	102205.000000	51.000000
52.000000	52	104241.000000	52.000000
53.000000	53	106133.000000	53.000000
54.000000	54	108215.000000	54.000000
55.000000	55	110262.000000	55.000000
56.000000	56	112455.000000	56.000000
57.000000	57	114522.000000	57.000000
58.000000	58	116731.000000	58.000000
59.000000	59	118638.000000	59.000000
60.000000	60	120718.000000	60.000000
61.000000	61	122646.000000	61.000000
62.000000	62	124490.000000	62.000000
63.000000	63	126609.000000	63.000000
64.000000	64	128618.000000	64.000000
65.000000	65	130780.000000	65.000000
66.000000	66	132793.000000	66.000000
67.000000	67	134832.000000	67.000000
68.000000	68	137023.000000	68.000000
69.000000	69	139106.000000	69.000000
70.000000	70	141052.000000	70.000000
71.000000	71	142865.000000	71.000000
72.000000	72	144957.000000	72.000000
73.000000	73	147163.000000	73.000000
74.000000	74	149282.000000	74.000000
75.000000	75	151391.000000	75.000000
76.000000	76	153280.000000	76.000000
77.000000	77	155148.000000	77.000000
78.000000	78	157322.000000	78.000000
79.000000	79	159445.000000	79.000000
80.000000	80	161491.000000	80.000000
81.000000	81	163649.000000	81.000000
82.000000	82	165735.000000	82.000000
83.000000	83	167660.000000	83.000000
84.000000	84	169508.000000	84.000000
85.000000	85	171568.000000	85.000000
86.000000	86	173491.000000	86.000000
87.000000	87	175651.000000	87.000000
88.000000	88	177525.000000	88.000000
89.000000	89	179444.000000	89.000000
90.000000	90	181471.000000	90.000000
91.000000	91	183666.000000	91.000000
92.000000	92	185546.000000	92.000000
93.000000	93	187418.000000	93.000000
94.000000	94	189335.000000	94.000000
95.000000	95	191215.000000	95.000000
96.000000	96	193256.000000	96.000000
97.000000	97	195264.000000	97.000000
98.000000	98	197189.000000	98.000000
99.000000	99	199061.000000	99.000000
100.000000	100	201114.000000	100.000000
