number	type	latency	urevent
1.000000	1	2943.000000	1.000000
2.000000	2	4746.000000	2.000000
3.000000	3	6559.000000	3.000000
4.000000	4	8705.000000	4.000000
5.000000	5	10589.000000	5.000000
6.000000	6	12500.000000	6.000000
7.000000	7	14570.000000	7.000000
8.000000	8	16500.000000	8.000000
9.000000	9	18365.000000	9.000000
10.000000	10	20315.000000	10.000000
11.000000	11	22288.000000	11.000000
12.000000	12	24122.000000	12.000000
13.000000	13	26121.000000	13.000000
14.000000	14	27963.000000	14.000000
15.000000	15	30108.000000	15.000000
16.000000	16	31941.000000	16.000000
17.000000	17	33868.000000	17.000000
18.000000	18	36044.000000	18.000000
19.000000	19	38000.000000	19.000000
20.000000	20	40118.000000	20.000000
21.000000	21	42058.000000	21.000000
22.000000	22	44148.000000	22.000000
23.000000	23	46294.000000	23.000000
24.000000	24	48390.000000	24.000000
25.000000	25	50322.000000	25.000000
26.000000	26	52197.000000	26.000000
27.000000	27	54137.000000	27.000000
28.000000	28	56133.000000	28.000000
29.000000	29	58040.000000	29.000000
30.000000	30	60179.000000	30.000000
31.000000	31	62100.000000	31.000000
32.000000	32	64101.000000	32.000000
33.000000	33	65970.000000	33.000000
34.000000	34	68129.000000	34.000000
35.000000	35	70053.000000	35.000000
36.000000	36	72171.000000	36.000000
37.000000	37	74371.000000	37.000000
38.000000	38	76378.000000	38.000000
39.000000	39	78542.000000	39.000000
40.000000	40	80681.000000	40.000000
41.000000	41	82499.000000	41.000000
42.000000	42	84364.000000	42.000000
43.000000	43	86231.000000	43.000000
44.000000	44	88241.000000	44.000000
45.000000	45	90063.000000	45.000000
46.000000	46	92110.000000	46.000000
47.000000	47	93923.000000	47.000000
48.000000	48	96041.000000	48.000000
49.000000	49	98110.000000	49.000000
50.000000	50	100228.000000	50.000000
51.000000	51	102321.000000	51.000000
52.000000	52	104352.000000	52.000000
53.000000	53	106243.000000	53.000000
54.000000	54	108325.000000	54.000000
55.000000	55	110371.000000	55.000000
56.000000	56	112562.000000	56.000000
57.000000	57	114629.000000	57.000000
58.000000	58	116837.000000	58.000000
59.000000	59	118744.000000	59.000000
60.000000	60	120823.000000	60.000000
61.000000	61	122751.000000	61.000000
62.000000	62	124594.000000	62.000000
63.000000	63	126711.000000	63.000000
64.000000	64	128720.000000	64.000000
65.000000	65	130881.000000	65.000000
66.000000	66	132894.000000	66.000000
67.000000	67	134932.000000	67.000000
68.000000	68	137121.000000	68.000000
69.000000	69	139204.000000	69.000000
70.000000	70	141150.000000	70.000000
71.000000	71	142963.000000	71.000000
72.000000	72	145054.000000	72.000000
73.000000	73	147259.000000	73.000000
74.000000	74	149382.000000	74.000000
75.000000	75	151490.000000	75.000000
76.000000	76	153378.000000	76.000000
77.000000	77	155245.000000	77.000000
78.000000	78	157419.000000	78.000000
79.000000	79	159541.000000	79.000000
80.000000	80	161585.000000	80.000000
81.000000	81	163740.000000	81.000000
82.000000	82	165824.000000	82.000000
83.000000	83	167748.000000	83.000000
84.000000	84	169595.000000	84.000000
85.000000	85	171655.000000	85.000000
86.000000	86	173576.000000	86.000000
87.000000	87	175735.000000	87.000000
88.000000	88	177608.000000	88.000000
89.000000	89	179527.000000	89.000000
90.000000	90	181554.000000	90.000000
91.000000	91	183748.000000	91.000000
92.000000	92	185627.000000	92.000000
93.000000	93	187499.000000	93.000000
94.000000	94	189415.000000	94.000000
95.000000	95	191294.000000	95.000000
96.000000	96	193333.000000	96.000000
97.000000	97	195342.000000	97.000000
98.000000	98	197266.000000	98.000000
99.000000	99	199138.000000	99.000000
100.000000	100	201190.000000	100.000000
