number	type	latency	urevent
1.000000	1	2372.000000	1.000000
2.000000	2	4285.000000	2.000000
3.000000	3	6432.000000	3.000000
4.000000	4	8245.000000	4.000000
5.000000	5	10345.000000	5.000000
6.000000	6	12520.000000	6.000000
7.000000	7	14483.000000	7.000000
8.000000	8	16490.000000	8.000000
9.000000	9	18614.000000	9.000000
10.000000	10	20520.000000	10.000000
11.000000	11	22363.000000	11.000000
12.000000	12	24330.000000	12.000000
13.000000	13	26425.000000	13.000000
14.000000	14	28452.000000	14.000000
15.000000	15	30612.000000	15.000000
16.000000	16	32446.000000	16.000000
17.000000	17	34651.000000	17.000000
18.000000	18	36567.000000	18.000000
19.000000	19	38496.000000	19.000000
20.000000	20	40684.000000	20.000000
21.000000	21	42680.000000	21.000000
22.000000	22	44670.000000	22.000000
23.000000	23	46541.000000	23.000000
24.000000	24	48418.000000	24.000000
25.000000	25	50610.000000	25.000000
26.000000	26	52813.000000	26.000000
27.000000	27	54899.000000	27.000000
28.000000	28	57096.000000	28.000000
29.000000	29	58961.000000	29.000000
30.000000	30	61017.000000	30.000000
31.000000	31	63209.000000	31.000000
32.000000	32	65090.000000	32.000000
33.000000	33	67184.000000	33.000000
34.000000	34	69016.000000	34.000000
35.000000	35	71076.000000	35.000000
36.000000	36	72964.000000	36.000000
37.000000	37	75112.000000	37.000000
38.000000	38	77229.000000	38.000000
39.000000	39	79432.000000	39.000000
40.000000	40	81270.000000	40.000000
41.000000	41	83208.000000	41.000000
42.000000	42	85092.000000	42.000000
43.000000	43	86990.000000	43.000000
44.000000	44	89070.000000	44.000000
45.000000	45	90887.000000	45.000000
46.000000	46	92856.000000	46.000000
47.000000	47	94693.000000	47.000000
48.000000	48	96511.000000	48.000000
49.000000	49	98523.000000	49.000000
50.000000	50	100584.000000	50.000000
51.000000	51	102584.000000	51.000000
52.000000	52	104558.000000	52.000000
53.000000	53	106731.000000	53.000000
54.000000	54	108574.000000	54.000000
55.000000	55	110721.000000	55.000000
56.000000	56	112815.000000	56.000000
57.000000	57	114801.000000	57.000000
58.000000	58	116959.000000	58.000000
59.000000	59	119166.000000	59.000000
60.000000	60	121366.000000	60.000000
61.000000	61	123217.000000	61.000000
62.000000	62	125088.000000	62.000000
63.000000	63	127282.000000	63.000000
64.000000	64	129299.000000	64.000000
65.000000	65	131330.000000	65.000000
66.000000	66	133428.000000	66.000000
67.000000	67	135320.000000	67.000000
68.000000	68	137420.000000	68.000000
69.000000	69	139276.000000	69.000000
70.000000	70	141341.000000	70.000000
71.000000	71	143509.000000	71.000000
72.000000	72	145513.000000	72.000000
73.000000	73	147482.000000	73.000000
74.000000	74	149554.000000	74.000000
75.000000	75	151465.000000	75.000000
76.000000	76	153663.000000	76.000000
77.000000	77	155488.000000	77.000000
78.000000	78	157511.000000	78.000000
79.000000	79	159441.000000	79.000000
80.000000	80	161290.000000	80.000000
81.000000	81	163320.000000	81.000000
82.000000	82	165328.000000	82.000000
83.000000	83	167265.000000	83.000000
84.000000	84	169448.000000	84.000000
85.000000	85	171359.000000	85.000000
86.000000	86	173331.000000	86.000000
87.000000	87	175508.000000	87.000000
88.000000	88	177674.000000	88.000000
89.000000	89	179763.000000	89.000000
90.000000	90	181741.000000	90.000000
91.000000	91	183792.000000	91.000000
92.000000	92	185794.000000	92.000000
93.000000	93	187704.000000	93.000000
94.000000	94	189617.000000	94.000000
95.000000	95	191459.000000	95.000000
96.000000	96	193617.000000	96.000000
97.000000	97	195669.000000	97.000000
98.000000	98	197573.000000	98.000000
99.000000	99	199725.000000	99.000000
100.000000	100	201812.000000	100.000000
