number	type	latency	urevent
1.000000	1	3348.000000	1.000000
2.000000	2	5259.000000	2.000000
3.000000	3	7445.000000	3.000000
4.000000	4	9614.000000	4.000000
5.000000	5	11526.000000	5.000000
6.000000	6	13597.000000	6.000000
7.000000	7	15730.000000	7.000000
8.000000	8	17663.000000	8.000000
9.000000	9	19804.000000	9.000000
10.000000	10	21693.000000	10.000000
11.000000	11	23831.000000	11.000000
12.000000	12	25704.000000	12.000000
13.000000	13	27718.000000	13.000000
14.000000	14	29543.000000	14.000000
15.000000	15	31627.000000	15.000000
16.000000	16	33519.000000	16.000000
17.000000	17	35688.000000	17.000000
18.000000	18	37528.000000	18.000000
19.000000	19	39405.000000	19.000000
20.000000	20	41479.000000	20.000000
21.000000	21	43466.000000	21.000000
22.000000	22	45544.000000	22.000000
23.000000	23	47578.000000	23.000000
24.000000	24	49720.000000	24.000000
25.000000	25	51612.000000	25.000000
26.000000	26	53593.000000	26.000000
27.000000	27	55448.000000	27.000000
28.000000	28	57621.000000	28.000000
29.000000	29	59531.000000	29.000000
30.000000	30	61385.000000	30.000000
31.000000	31	63318.000000	31.000000
32.000000	32	65403.000000	32.000000
33.000000	33	67286.000000	33.000000
34.000000	34	69145.000000	34.000000
35.000000	35	71005.000000	35.000000
36.000000	36	72929.000000	36.000000
37.000000	37	74933.000000	37.000000
38.000000	38	76871.000000	38.000000
39.000000	39	78913.000000	39.000000
40.000000	40	80846.000000	40.000000
41.000000	41	82957.000000	41.000000
42.000000	42	85145.000000	42.000000
43.000000	43	87030.000000	43.000000
44.000000	44	89119.000000	44.000000
45.000000	45	91302.000000	45.000000
46.000000	46	93493.000000	46.000000
47.000000	47	95405.000000	47.000000
48.000000	48	97391.000000	48.000000
49.000000	49	99279.000000	49.000000
50.000000	50	101121.000000	50.000000
51.000000	51	102936.000000	51.000000
52.000000	52	105046.000000	52.000000
53.000000	53	106864.000000	53.000000
54.000000	54	108842.000000	54.000000
55.000000	55	111039.000000	55.000000
56.000000	56	113058.000000	56.000000
57.000000	57	115114.000000	57.000000
58.000000	58	117056.000000	58.000000
59.000000	59	118974.000000	59.000000
60.000000	60	120819.000000	60.000000
61.000000	61	122951.000000	61.000000
62.000000	62	125107.000000	62.000000
63.000000	63	127158.000000	63.000000
64.000000	64	129177.000000	64.000000
65.000000	65	131360.000000	65.000000
66.000000	66	133260.000000	66.000000
67.000000	67	135083.000000	67.000000
68.000000	68	136951.000000	68.000000
69.000000	69	138961.000000	69.000000
70.000000	70	141098.000000	70.000000
71.000000	71	143301.000000	71.000000
72.000000	72	145505.000000	72.000000
73.000000	73	147507.000000	73.000000
74.000000	74	149664.000000	74.000000
75.000000	75	151503.000000	75.000000
76.000000	76	153370.000000	76.000000
77.000000	77	155428.000000	77.000000
78.000000	78	157550.000000	78.000000
79.000000	79	159568.000000	79.000000
80.000000	80	161600.000000	80.000000
81.000000	81	163464.000000	81.000000
82.000000	82	165531.000000	82.000000
83.000000	83	167498.000000	83.000000
84.000000	84	169484.000000	84.000000
85.000000	85	171538.000000	85.000000
86.000000	86	173571.000000	86.000000
87.000000	87	175766.000000	87.000000
88.000000	88	177812.000000	88.000000
89.000000	89	179626.000000	89.000000
90.000000	90	181727.000000	90.000000
91.000000	91	183837.000000	91.000000
92.000000	92	185701.000000	92.000000
93.000000	93	187553.000000	93.000000
94.000000	94	189535.000000	94.000000
95.000000	95	191436.000000	95.000000
96.000000	96	193392.000000	96.000000
97.000000	97	195498.000000	97.000000
98.000000	98	197466.000000	98.000000
99.000000	99	199357.000000	99.000000
100.000000	100	201208.000000	100.000000
