number	type	latency	urevent
1.000000	1	2324.000000	1.000000
2.000000	2	4144.000000	2.000000
3.000000	3	6123.000000	3.000000
4.000000	4	8273.000000	4.000000
5.000000	boundary	9521.000000	5.000000
6.000000	5	10198.000000	6.000000
7.000000	6	12302.000000	7.000000
8.000000	7	14497.000000	8.000000
9.000000	8	16525.000000	9.000000
10.000000	9	18588.000000	10.000000
11.000000	10	20476.000000	11.000000
12.000000	11	22586.000000	12.000000
13.000000	12	24444.000000	13.000000
14.000000	13	26263.000000	14.000000
15.000000	14	28079.000000	15.000000
16.000000	15	30203.000000	16.000000
17.000000	16	32042.000000	17.000000
18.000000	17	33885.000000	18.000000
19.000000	18	36024.000000	19.000000
20.000000	19	38036.000000	20.000000
21.000000	20	40134.000000	21.000000
22.000000	21	42292.000000	22.000000
23.000000	22	44465.000000	23.000000
24.000000	23	46329.000000	24.000000
25.000000	24	48515.000000	25.000000
26.000000	25	50394.000000	26.000000
27.000000	26	52279.000000	27.000000
28.000000	27	54409.000000	28.000000
29.000000	28	56453.000000	29.000000
30.000000	29	58429.000000	30.000000
31.000000	30	60282.000000	31.000000
32.000000	31	62126.000000	32.000000
33.000000	32	64072.000000	33.000000
34.000000	33	66070.000000	34.000000
35.000000	34	67952.000000	35.000000
36.000000	35	69789.000000	36.000000
37.000000	36	71933.000000	37.000000
38.000000	37	73763.000000	38.000000
39.000000	38	75705.000000	39.000000
40.000000	39	77559.000000	40.000000
41.000000	40	79482.000000	41.000000
42.000000	41	81476.000000	42.000000
43.000000	42	83373.000000	43.000000
44.000000	43	85467.000000	44.000000
45.000000	44	87672.000000	45.000000
46.000000	45	89850.000000	46.000000
47.000000	46	91728.000000	47.000000
48.000000	47	93683.000000	48.000000
49.000000	48	95672.000000	49.000000
50.000000	49	97780.000000	50.000000
51.000000	50	99788.000000	51.000000
52.000000	51	101714.000000	52.000000
53.000000	52	103907.000000	53.000000
54.000000	53	106106.000000	54.000000
55.000000	54	108001.000000	55.000000
56.000000	55	109937.000000	56.000000
57.000000	56	112085.000000	57.000000
58.000000	57	114054.000000	58.000000
59.000000	58	116071.000000	59.000000
60.000000	59	118006.000000	60.000000
61.000000	60	120162.000000	61.000000
62.000000	61	121981.000000	62.000000
63.000000	62	123997.000000	63.000000
64.000000	63	125843.000000	64.000000
65.000000	64	127766.000000	65.000000
66.000000	65	129697.000000	66.000000
67.000000	66	131905.000000	67.000000
68.000000	67	133927.000000	68.000000
69.000000	68	136010.000000	69.000000
70.000000	69	138183.000000	70.000000
71.000000	70	140142.000000	71.000000
72.000000	71	142084.000000	72.000000
73.000000	72	144154.000000	73.000000
74.000000	73	146212.000000	74.000000
75.000000	74	148420.000000	75.000000
76.000000	75	150563.000000	76.000000
77.000000	76	152640.000000	77.000000
78.000000	77	154750.000000	78.000000
79.000000	78	156727.000000	79.000000
80.000000	79	158772.000000	80.000000
81.000000	80	160597.000000	81.000000
82.000000	81	162508.000000	82.000000
83.000000	82	164495.000000	83.000000
84.000000	83	166595.000000	84.000000
85.000000	84	168652.000000	85.000000
86.000000	85	170537.000000	86.000000
87.000000	86	172736.000000	87.000000
88.000000	87	174677.000000	88.000000
89.000000	88	176742.000000	89.000000
90.000000	89	178725.000000	90.000000
91.000000	90	180910.000000	91.000000
92.000000	91	182843.000000	92.000000
93.000000	92	185034.000000	93.000000
94.000000	93	187132.000000	94.000000
95.000000	94	189269.000000	95.000000
96.000000	95	191269.000000	96.000000
97.000000	96	193264.000000	97.000000
98.000000	97	195208.000000	98.000000
99.000000	98	197339.000000	99.000000
100.000000	99	199497.000000	100.000000
101.000000	100	201535.000000	101.000000
