number	type	latency	urevent
1.000000	1	2599.000000	1.000000
2.000000	2	4402.000000	2.000000
3.000000	3	6216.000000	3.000000
4.000000	4	8362.000000	4.000000
5.000000	5	10245.000000	5.000000
6.000000	6	12156.000000	6.000000
7.000000	7	14226.000000	7.000000
8.000000	8	16156.000000	8.000000
9.000000	9	18022.000000	9.000000
10.000000	10	19972.000000	10.000000
11.000000	11	21945.000000	11.000000
12.000000	12	23784.000000	12.000000
13.000000	13	25783.000000	13.000000
14.000000	14	27621.000000	14.000000
15.000000	15	29768.000000	15.000000
16.000000	16	31600.000000	16.000000
17.000000	17	33527.000000	17.000000
18.000000	18	35703.000000	18.000000
19.000000	19	37661.000000	19.000000
20.000000	20	39780.000000	20.000000
21.000000	21	41721.000000	21.000000
22.000000	22	43810.000000	22.000000
23.000000	23	45957.000000	23.000000
24.000000	24	48055.000000	24.000000
25.000000	25	49986.000000	25.000000
26.000000	26	51861.000000	26.000000
27.000000	27	53803.000000	27.000000
28.000000	28	55799.000000	28.000000
29.000000	29	57707.000000	29.000000
30.000000	30	59847.000000	30.000000
31.000000	31	61769.000000	31.000000
32.000000	32	63771.000000	32.000000
33.000000	33	65640.000000	33.000000
34.000000	34	67799.000000	34.000000
35.000000	35	69723.000000	35.000000
36.000000	36	71842.000000	36.000000
37.000000	37	74043.000000	37.000000
38.000000	38	76049.000000	38.000000
39.000000	39	78215.000000	39.000000
40.000000	40	80355.000000	40.000000
41.000000	41	82177.000000	41.000000
42.000000	42	84043.000000	42.000000
43.000000	43	85910.000000	43.000000
44.000000	44	87920.000000	44.000000
45.000000	45	89739.000000	45.000000
46.000000	46	91786.000000	46.000000
47.000000	47	93599.000000	47.000000
48.000000	48	95719.000000	48.000000
49.000000	49	97789.000000	49.000000
50.000000	50	99906.000000	50.000000
51.000000	51	101999.000000	51.000000
52.000000	52	104032.000000	52.000000
53.000000	53	105924.000000	53.000000
54.000000	54	108006.000000	54.000000
55.000000	55	110053.000000	55.000000
56.000000	56	112245.000000	56.000000
57.000000	57	114312.000000	57.000000
58.000000	58	116522.000000	58.000000
59.000000	59	118428.000000	59.000000
60.000000	60	120509.000000	60.000000
61.000000	61	122437.000000	61.000000
62.000000	62	124281.000000	62.000000
63.000000	63	126399.000000	63.000000
64.000000	64	128407.000000	64.000000
65.000000	65	130569.000000	65.000000
66.000000	66	132582.000000	66.000000
67.000000	67	134622.000000	67.000000
68.000000	68	136812.000000	68.000000
69.000000	69	138896.000000	69.000000
70.000000	70	140841.000000	70.000000
71.000000	71	142654.000000	71.000000
72.000000	72	144750.000000	72.000000
73.000000	73	146955.000000	73.000000
74.000000	74	149075.000000	74.000000
75.000000	75	151184.000000	75.000000
76.000000	76	153073.000000	76.000000
77.000000	77	154941.000000	77.000000
78.000000	78	157116.000000	78.000000
79.000000	79	159239.000000	79.000000
80.000000	80	161285.000000	80.000000
81.000000	81	163439.000000	81.000000
82.000000	82	165524.000000	82.000000
83.000000	83	167450.000000	83.000000
84.000000	84	169297.000000	84.000000
85.000000	85	171358.000000	85.000000
86.000000	86	173280.000000	86.000000
87.000000	87	175441.000000	87.000000
88.000000	88	177314.000000	88.000000
89.000000	89	179234.000000	89.000000
90.000000	90	181261.000000	90.000000
91.000000	91	183455.000000	91.000000
92.000000	92	185334.000000	92.000000
93.000000	93	187206.000000	93.000000
94.000000	94	189124.000000	94.000000
95.000000	95	191004.000000	95.000000
96.000000	96	193044.000000	96.000000
97.000000	97	195053.000000	97.000000
98.000000	98	196978.000000	98.000000
99.000000	99	198850.000000	99.000000
100.000000	100	200903.000000	100.000000
