1,1,2308,1,356.8832,128.0209,188.411633275564
2,2308,4111,1,372.6369,164.2892,202.457848614191
3,4111,5925,0,236.7391,158.6628,191.085198071625
4,5925,8071,1,384.2358,164.0295,217.550432836516
5,8071,9954,1,378.9557,174.5031,218.119696974522
6,9954,11865,0,224.015,173.551,200.401339016736
7,11865,13942,0,244.0967,181.6875,211.624420452358
8,13942,15877,1,412.9735,205.2316,247.511186002067
9,15877,17748,1,395.2289,199.3456,247.615067574786
10,17748,19704,1,407.0009,203.1542,247.089430710271
11,19704,21682,0,260.716,194.8445,228.783270389085
12,21682,23521,1,429.4197,210.2521,258.919768369566
13,23521,25517,1,432.4492,210.9445,256.058722834252
14,25517,27353,1,332.3869,207.3091,236.417640772999
15,27353,29495,0,254.6569,181.7741,216.681703033131
16,29495,31325,1,403.3654,207.0494,245.219614472966
17,31325,33249,1,385.7939,197.2682,239.862370909091
18,33249,35421,1,404.8369,203.4139,246.112776852278
19,35421,37375,1,375.6665,207.2225,253.377702148338
20,37375,39490,1,395.0557,212.9354,246.603850189035
21,39490,41428,0,256.5612,199.3456,229.250013305828
22,41428,43513,1,397.9122,195.2773,238.570077948226
23,43513,45657,1,395.8348,197.3548,243.565604662005
24,45657,47751,1,403.1923,217.0902,254.161482147971
25,47751,49684,1,375.7531,190.9494,246.583111168563
26,49684,51556,0,261.4951,201.423,234.304347677523
27,51556,53495,1,369.088,202.2021,245.808256237113
28,53495,55488,1,385.4477,205.1451,240.912251755265
29,55488,57393,1,437.4697,217.8692,268.348741920252
30,57393,59530,1,435.5654,214.2338,267.696244153414
31,59530,61447,1,424.8321,215.1859,262.979047028154
32,61447,63447,1,431.2374,228.4295,263.630858270865
33,63447,65312,1,424.3127,236.7391,277.789490246517
34,65312,67468,1,453.7428,229.2085,273.530569216504
35,67468,69389,1,436.8638,224.2746,261.647578251821
36,69389,71505,1,407.6068,224.015,257.591785970713
37,71505,73702,1,485.1638,226.4386,266.554929435851
38,73702,75706,1,438.4218,244.0101,281.282107381546
39,75706,77867,1,428.381,238.1241,275.587439824236
40,77867,80003,0,292.7429,229.5547,262.580413008891
41,80003,81817,0,284.1735,217.3499,255.872563415978
42,81817,83680,1,462.139,230.9397,276.967992381974
43,83680,85544,1,389.0832,220.6391,266.258947131367
44,85544,87551,1,443.7885,229.2085,270.379591782868
45,87551,89367,1,448.203,221.1585,269.208660924601
46,89367,91410,1,431.4971,228.516,279.371441927593
47,91410,93220,0,297.244,235.787,266.131904307013
48,93220,95336,1,394.1036,237.0854,274.623852527161
49,95336,97403,1,469.9294,216.5709,285.98477877176
50,97403,99517,1,416.8686,241.0671,280.667614799055
51,99517,101608,1,459.2826,251.1945,288.514429827916
52,101608,103636,1,474.6035,251.6273,305.824734450468
53,103636,105525,1,488.8858,259.2445,309.118898677249
54,105525,107604,1,484.9906,262.101,323.985052115385
55,107604,109648,1,465.8611,279.9321,313.899316577017
56,109648,111841,1,490.0111,266.1692,313.602358979034
57,111841,113905,1,478.5853,260.2832,315.72794377724
58,113905,116111,1,456.7724,270.1509,318.044372270049
59,116111,118014,1,517.8831,265.9095,338.263050787815
60,118014,120091,1,337.8402,275.9504,302.900283108759
61,120091,122016,1,525.2406,283.6542,333.735532242992
62,122016,123857,1,336.8015,262.7934,299.294629587405
63,123857,125971,1,461.8794,276.9026,315.327761749409
64,125971,127977,1,516.4116,285.9047,335.853277628301
65,127977,130135,1,510.1793,272.7477,336.53893584993
66,130135,132145,1,503.6874,286.6837,321.87416713078
67,132145,134180,1,533.204,276.1235,337.829028388998
68,134180,136368,1,508.7944,280.6246,329.500046048425
69,136368,138448,1,508.4482,274.3923,329.686933445459
70,138448,140389,1,535.0218,282.6154,338.320966786818
71,140389,142199,1,519.9605,285.7316,335.757538376588
72,142199,144287,1,550.1696,302.3509,348.206582766875
73,144287,146488,1,545.9282,283.481,346.14414137148
74,146488,148604,1,547.6594,302.2644,350.699448512045
75,148604,150710,1,372.6369,313.0843,347.590944992881
76,150710,152596,1,564.5385,329.7902,374.182282670906
77,152596,154459,1,568.174,309.795,369.310622639485
78,154459,156630,1,544.9761,329.0977,373.074263996316
79,156630,158750,1,526.9718,331.0886,370.168215983027
80,158750,160791,1,546.5342,338.0133,389.686949412341
81,160791,162943,1,555.796,344.4187,387.515522155132
82,162943,165024,1,568.6933,356.1041,408.120169980788
83,165024,166946,1,572.1556,372.031,418.706398179927
84,166946,168789,1,597.0847,367.7031,420.20157472885
85,168789,170848,1,594.7476,379.9944,428.512758398058
86,170848,172771,1,635.0841,383.3702,445.848018711019
87,172771,174927,1,618.6379,406.395,449.148026842838
88,174927,176799,1,641.6626,408.7321,453.619549973304
89,176799,178715,1,637.6809,384.0627,453.674215388627
90,178715,180739,1,619.5035,399.124,447.908591061728
91,180739,182929,1,642.5282,405.5294,463.19149237791
92,182929,184805,1,654.6465,409.8573,464.481248961109
93,184805,186674,1,642.7879,405.5294,457.196278128341
94,186674,188588,1,614.8293,397.3063,448.362487937337
95,188588,190465,1,633.0933,395.7482,449.340271458999
96,190465,192501,1,463.0912,404.231,431.581420667648
97,192501,194506,1,663.7352,413.2332,474.739769242273
98,194506,196427,1,645.6443,421.4563,473.939130176899
99,196427,198295,1,618.9841,423.1009,467.231988443018
100,198295,200345,1,595.0073,427.1692,469.907830277914
